Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
248,Holt,San Joaquin Valley,7/1/2024,0100,183,0.00, ,0.00, ,0, ,19.1, ,65.0, ,90, ,62.1, ,2.9, ,13, ,74.6, 
248,Holt,San Joaquin Valley,7/1/2024,0200,183,0.00, ,0.00, ,0, ,18.0, ,63.3, ,91, ,60.6, ,1.8, ,267, ,74.1, 
248,Holt,San Joaquin Valley,7/1/2024,0300,183,0.00, ,0.00, ,0, ,18.2, ,62.5, ,94, ,60.8, ,2.3, ,305, ,73.4, 
248,Holt,San Joaquin Valley,7/1/2024,0400,183,0.00, ,0.00, ,0, ,18.2, ,62.6, ,94, ,60.8, ,2.0, ,258, ,72.8, 
248,Holt,San Joaquin Valley,7/1/2024,0500,183,0.00, ,0.00, ,9, ,18.3, ,63.6, ,91, ,61.0, ,4.5, ,283, ,72.3, 
248,Holt,San Joaquin Valley,7/1/2024,0600,183,0.00,Y,0.00, ,195, ,18.7, ,67.0,Y,83,Y,61.6,Y,3.6, ,316, ,72.2, 
248,Holt,San Joaquin Valley,7/1/2024,0700,183,0.01, ,0.00, ,549, ,18.5, ,73.1, ,67, ,61.3, ,3.5, ,321, ,72.3, 
248,Holt,San Joaquin Valley,7/1/2024,0800,183,0.01, ,0.00, ,954, ,18.2, ,77.2, ,57, ,60.8, ,6.7, ,296, ,72.4, 
248,Holt,San Joaquin Valley,7/1/2024,0900,183,0.02, ,0.00, ,1324, ,17.6, ,82.0, ,47, ,59.8, ,8.3, ,303, ,72.6, 
248,Holt,San Joaquin Valley,7/1/2024,1000,183,0.03, ,0.00, ,1613, ,17.6, ,84.1, ,44, ,59.9, ,8.2, ,311, ,72.8, 
248,Holt,San Joaquin Valley,7/1/2024,1100,183,0.03, ,0.00, ,1819, ,17.6, ,87.3, ,40, ,59.9, ,7.7, ,297, ,73.3, 
248,Holt,San Joaquin Valley,7/1/2024,1200,183,0.03, ,0.00, ,1937, ,17.5, ,89.5, ,37, ,59.8, ,7.8, ,291, ,74.5, 
248,Holt,San Joaquin Valley,7/1/2024,1300,183,0.03, ,0.00, ,1947, ,17.4, ,91.3, ,35, ,59.6, ,7.6, ,282, ,76.2, 
248,Holt,San Joaquin Valley,7/1/2024,1400,183,0.03, ,0.00, ,1859, ,17.3, ,93.8, ,32, ,59.4, ,7.7, ,278, ,77.7, 
248,Holt,San Joaquin Valley,7/1/2024,1500,183,0.03, ,0.00, ,1681, ,16.2, ,95.7, ,28, ,57.6, ,9.1, ,285, ,78.6, 
248,Holt,San Joaquin Valley,7/1/2024,1600,183,0.03, ,0.00, ,1417, ,15.1, ,97.5, ,25, ,55.5, ,10.0, ,291, ,78.9, 
248,Holt,San Joaquin Valley,7/1/2024,1700,183,0.02, ,0.00, ,1071, ,13.7, ,97.1, ,23, ,52.9, ,9.5, ,284, ,78.8, 
248,Holt,San Joaquin Valley,7/1/2024,1800,183,0.01, ,0.00, ,656, ,16.7, ,95.2, ,30, ,58.4, ,7.7, ,296, ,78.5, 
248,Holt,San Joaquin Valley,7/1/2024,1900,183,0.01, ,0.00, ,266, ,17.1, ,89.4, ,36, ,59.1, ,7.1, ,293, ,78.1, 
248,Holt,San Joaquin Valley,7/1/2024,2000,183,0.00, ,0.00, ,28, ,17.4, ,81.9, ,47, ,59.5, ,6.6, ,296, ,77.7, 
248,Holt,San Joaquin Valley,7/1/2024,2100,183,0.00, ,0.00, ,0, ,16.8, ,77.8, ,52, ,58.6, ,5.3, ,257, ,77.2, 
248,Holt,San Joaquin Valley,7/1/2024,2200,183,0.00, ,0.00, ,0, ,16.5, ,76.1, ,54, ,58.0, ,5.0, ,258, ,76.7, 
248,Holt,San Joaquin Valley,7/1/2024,2300,183,0.00,Y,0.00, ,0, ,15.0, ,73.9,Y,52,Y,55.4,Y,4.4, ,258, ,76.2, 
248,Holt,San Joaquin Valley,7/1/2024,2400,183,0.00,Y,0.00, ,0, ,14.4, ,71.5,Y,55,Y,54.2,Y,3.9, ,263, ,75.7, 
248,Holt,San Joaquin Valley,7/2/2024,0100,184,0.00,Y,0.00, ,0, ,17.1, ,71.2,Y,65,Y,59.0,Y,5.6, ,252, ,75.1, 
248,Holt,San Joaquin Valley,7/2/2024,0200,184,0.00,Y,0.00, ,1, ,17.9, ,70.3,Y,71,Y,60.3,Y,4.0, ,261, ,74.8, 
248,Holt,San Joaquin Valley,7/2/2024,0300,184,0.00,R,0.00, ,1, ,16.4, ,70.8,R,64,R,57.9,R,3.9, ,277, ,74.4, 
248,Holt,San Joaquin Valley,7/2/2024,0400,184,0.00,R,0.00, ,1, ,15.3, ,71.0,R,59,R,56.0,R,4.1, ,283, ,74.1, 
248,Holt,San Joaquin Valley,7/2/2024,0500,184,0.00,Y,0.00, ,10, ,14.7, ,68.8,Y,61,Y,54.9,Y,3.9, ,270, ,73.8, 
248,Holt,San Joaquin Valley,7/2/2024,0600,184,0.00,R,0.00, ,188, ,14.4, ,72.5,R,53,R,54.3,R,4.1, ,291, ,73.4, 
248,Holt,San Joaquin Valley,7/2/2024,0700,184,0.01,R,0.00, ,549, ,15.0, ,78.9,R,45,R,55.4,R,5.6, ,286, ,73.3, 
248,Holt,San Joaquin Valley,7/2/2024,0800,184,0.02,Y,0.00, ,956, ,15.5, ,82.1,Y,41,Y,56.3,Y,5.7, ,297, ,73.4, 
248,Holt,San Joaquin Valley,7/2/2024,0900,184,0.02,Y,0.00, ,1323, ,16.2, ,86.2,Y,38,Y,57.6,Y,6.2, ,309, ,73.5, 
248,Holt,San Joaquin Valley,7/2/2024,1000,184,0.03,Y,0.00, ,1626, ,16.2, ,89.8,Y,34,Y,57.5,Y,8.6, ,322, ,73.8, 
248,Holt,San Joaquin Valley,7/2/2024,1100,184,0.03,Y,0.00, ,1836, ,16.2, ,92.3,Y,31,Y,57.5,Y,8.3, ,317, ,74.1, 
248,Holt,San Joaquin Valley,7/2/2024,1200,184,0.03,Y,0.00, ,1953, ,17.0, ,94.7,Y,30,Y,58.9,Y,8.3, ,301, ,75.1, 
248,Holt,San Joaquin Valley,7/2/2024,1300,184,0.04,Y,0.00, ,1968, ,16.3, ,97.7,Y,27,Y,57.7,Y,8.0, ,309, ,76.6, 
248,Holt,San Joaquin Valley,7/2/2024,1400,184,0.03,Y,0.00, ,1881, ,16.1, ,99.0,Y,25,Y,57.4,Y,7.7, ,298, ,78.1, 
248,Holt,San Joaquin Valley,7/2/2024,1500,184,0.03,Y,0.00, ,1706, ,16.1, ,100.9,Y,24,Y,57.4,Y,8.4, ,308, ,79.0, 
248,Holt,San Joaquin Valley,7/2/2024,1600,184,0.03,Y,0.00, ,1435, ,15.2, ,101.9,Y,22,Y,55.8,Y,7.5, ,308, ,79.2, 
248,Holt,San Joaquin Valley,7/2/2024,1700,184,0.02,Y,0.00, ,1082, ,15.1, ,101.3,Y,22,Y,55.6,Y,6.4, ,296, ,79.1, 
248,Holt,San Joaquin Valley,7/2/2024,1800,184,0.01,Y,0.00, ,666, ,15.9, ,101.0,Y,24,Y,57.1,Y,4.8, ,297, ,79.1, 
248,Holt,San Joaquin Valley,7/2/2024,1900,184,0.01,Y,0.00, ,270, ,17.9, ,98.9,Y,28,Y,60.3,Y,3.2, ,297, ,79.0, 
248,Holt,San Joaquin Valley,7/2/2024,2000,184,0.00,Y,0.00, ,26, ,18.2, ,89.1,Y,39,Y,60.8,Y,4.1, ,287, ,78.9, 
248,Holt,San Joaquin Valley,7/2/2024,2100,184,0.00,Y,0.00, ,0, ,15.9, ,82.1,Y,43,Y,57.1,Y,5.3, ,296, ,78.4, 
248,Holt,San Joaquin Valley,7/2/2024,2200,184,0.00,Y,0.00, ,0, ,15.8, ,78.7,Y,47,Y,56.8,Y,4.8, ,276, ,77.7, 
248,Holt,San Joaquin Valley,7/2/2024,2300,184,0.00,Y,0.00, ,0, ,15.5, ,76.4,Y,50,Y,56.4,Y,3.8, ,245, ,76.9, 
248,Holt,San Joaquin Valley,7/2/2024,2400,184,0.00,Y,0.00, ,0, ,16.0, ,72.9,Y,58,Y,57.3,Y,1.8, ,253, ,76.2, 
248,Holt,San Joaquin Valley,7/3/2024,0100,185,0.00,Y,0.00, ,0, ,15.9, ,71.5,Y,60,Y,57.0,Y,1.7, ,267, ,75.4, 
248,Holt,San Joaquin Valley,7/3/2024,0200,185,0.00,R,0.00, ,1, ,15.0, ,72.6,R,55,R,55.4,R,4.3, ,276, ,74.8, 
248,Holt,San Joaquin Valley,7/3/2024,0300,185,0.00,R,0.00, ,0, ,14.4, ,72.9,R,52,R,54.3,R,4.3, ,287, ,74.6, 
248,Holt,San Joaquin Valley,7/3/2024,0400,185,0.00,R,0.00, ,1, ,13.4, ,71.2,R,51,R,52.4,R,3.7, ,268, ,74.3, 
248,Holt,San Joaquin Valley,7/3/2024,0500,185,0.00,R,0.00, ,9, ,13.9, ,70.5,R,55,R,53.4,R,2.5, ,246, ,73.8, 
248,Holt,San Joaquin Valley,7/3/2024,0600,185,0.00,Y,0.00, ,175, ,14.7, ,69.9,Y,59,Y,54.9,Y,3.9, ,259, ,73.3, 
248,Holt,San Joaquin Valley,7/3/2024,0700,185,0.01,Y,0.00, ,530, ,14.5, ,78.1,Y,44,Y,54.5,Y,4.5, ,265, ,73.1, 
248,Holt,San Joaquin Valley,7/3/2024,0800,185,0.02,Y,0.00, ,947, ,13.9, ,83.1,Y,36,Y,53.4,Y,6.6, ,294, ,73.3, 
248,Holt,San Joaquin Valley,7/3/2024,0900,185,0.02,Y,0.00, ,1317, ,15.4, ,86.8,Y,35,Y,56.1,Y,7.7, ,306, ,73.5, 
248,Holt,San Joaquin Valley,7/3/2024,1000,185,0.03,Y,0.00, ,1610, ,16.3, ,90.2,Y,34,Y,57.7,Y,7.9, ,320, ,73.8, 
248,Holt,San Joaquin Valley,7/3/2024,1100,185,0.03,Y,0.00, ,1819, ,15.5, ,92.6,Y,30,Y,56.3,Y,8.0, ,312, ,74.2, 
248,Holt,San Joaquin Valley,7/3/2024,1200,185,0.03,Y,0.00, ,1931, ,16.9, ,94.6,Y,30,Y,58.7,Y,7.2, ,322, ,75.3, 
