pressure,ws
2e-07,-0.0001
2e-07,-9.411764705882353e-05
2e-07,-8.823529411764706e-05
2e-07,-8.23529411764706e-05
2e-07,-7.647058823529412e-05
2e-07,-7.058823529411765e-05
2e-07,-6.470588235294117e-05
2e-07,-5.882352941176471e-05
2e-07,-5.294117647058824e-05
2e-07,-4.705882352941177e-05
2e-07,-4.11764705882353e-05
2e-07,-3.529411764705882e-05
2e-07,-2.941176470588235e-05
2e-07,-2.352941176470588e-05
2e-07,-1.764705882352941e-05
2e-07,-1.176470588235294e-05
2e-07,-5.88235294117647e-06
2e-07,0.0
2e-07,5.88235294117647e-06
2e-07,1.176470588235294e-05
2e-07,1.764705882352941e-05
2e-07,2.3529411764705894e-05
2e-07,2.9411764705882364e-05
2e-07,3.5294117647058834e-05
2e-07,4.1176470588235304e-05
2e-07,4.7058823529411774e-05
2e-07,5.2941176470588244e-05
2e-07,5.8823529411764714e-05
2e-07,6.470588235294118e-05
2e-07,7.058823529411765e-05
2e-07,7.647058823529412e-05
2e-07,8.23529411764706e-05
2e-07,8.823529411764706e-05
2e-07,9.411764705882353e-05
2e-07,0.0001
4.882352941176471e-07,-0.0001
4.882352941176471e-07,-9.411764705882353e-05
4.882352941176471e-07,-8.823529411764706e-05
4.882352941176471e-07,-8.23529411764706e-05
4.882352941176471e-07,-7.647058823529412e-05
4.882352941176471e-07,-7.058823529411765e-05
4.882352941176471e-07,-6.470588235294117e-05
4.882352941176471e-07,-5.882352941176471e-05
4.882352941176471e-07,-5.294117647058824e-05
4.882352941176471e-07,-4.705882352941177e-05
4.882352941176471e-07,-4.11764705882353e-05
4.882352941176471e-07,-3.529411764705882e-05
4.882352941176471e-07,-2.941176470588235e-05
4.882352941176471e-07,-2.352941176470588e-05
4.882352941176471e-07,-1.764705882352941e-05
4.882352941176471e-07,-1.176470588235294e-05
4.882352941176471e-07,-5.88235294117647e-06
4.882352941176471e-07,0.0
4.882352941176471e-07,5.88235294117647e-06
4.882352941176471e-07,1.176470588235294e-05
4.882352941176471e-07,1.764705882352941e-05
4.882352941176471e-07,2.3529411764705894e-05
4.882352941176471e-07,2.9411764705882364e-05
4.882352941176471e-07,3.5294117647058834e-05
4.882352941176471e-07,4.1176470588235304e-05
4.882352941176471e-07,4.7058823529411774e-05
4.882352941176471e-07,5.2941176470588244e-05
4.882352941176471e-07,5.8823529411764714e-05
4.882352941176471e-07,6.470588235294118e-05
4.882352941176471e-07,7.058823529411765e-05
4.882352941176471e-07,7.647058823529412e-05
4.882352941176471e-07,8.23529411764706e-05
4.882352941176471e-07,8.823529411764706e-05
4.882352941176471e-07,9.411764705882353e-05
4.882352941176471e-07,0.0001
7.764705882352941e-07,-0.0001
7.764705882352941e-07,-9.411764705882353e-05
7.764705882352941e-07,-8.823529411764706e-05
7.764705882352941e-07,-8.23529411764706e-05
7.764705882352941e-07,-7.647058823529412e-05
7.764705882352941e-07,-7.058823529411765e-05
7.764705882352941e-07,-6.470588235294117e-05
7.764705882352941e-07,-5.882352941176471e-05
7.764705882352941e-07,-5.294117647058824e-05
7.764705882352941e-07,-4.705882352941177e-05
7.764705882352941e-07,-4.11764705882353e-05
7.764705882352941e-07,-3.529411764705882e-05
7.764705882352941e-07,-2.941176470588235e-05
7.764705882352941e-07,-2.352941176470588e-05
7.764705882352941e-07,-1.764705882352941e-05
7.764705882352941e-07,-1.176470588235294e-05
7.764705882352941e-07,-5.88235294117647e-06
7.764705882352941e-07,0.0
7.764705882352941e-07,5.88235294117647e-06
7.764705882352941e-07,1.176470588235294e-05
7.764705882352941e-07,1.764705882352941e-05
7.764705882352941e-07,2.3529411764705894e-05
7.764705882352941e-07,2.9411764705882364e-05
7.764705882352941e-07,3.5294117647058834e-05
7.764705882352941e-07,4.1176470588235304e-05
7.764705882352941e-07,4.7058823529411774e-05
7.764705882352941e-07,5.2941176470588244e-05
7.764705882352941e-07,5.8823529411764714e-05
7.764705882352941e-07,6.470588235294118e-05
7.764705882352941e-07,7.058823529411765e-05
7.764705882352941e-07,7.647058823529412e-05
7.764705882352941e-07,8.23529411764706e-05
7.764705882352941e-07,8.823529411764706e-05
7.764705882352941e-07,9.411764705882353e-05
7.764705882352941e-07,0.0001
1.0647058823529412e-06,-0.0001
1.0647058823529412e-06,-9.411764705882353e-05
1.0647058823529412e-06,-8.823529411764706e-05
1.0647058823529412e-06,-8.23529411764706e-05
1.0647058823529412e-06,-7.647058823529412e-05
1.0647058823529412e-06,-7.058823529411765e-05
1.0647058823529412e-06,-6.470588235294117e-05
1.0647058823529412e-06,-5.882352941176471e-05
1.0647058823529412e-06,-5.294117647058824e-05
1.0647058823529412e-06,-4.705882352941177e-05
1.0647058823529412e-06,-4.11764705882353e-05
1.0647058823529412e-06,-3.529411764705882e-05
1.0647058823529412e-06,-2.941176470588235e-05
1.0647058823529412e-06,-2.352941176470588e-05
1.0647058823529412e-06,-1.764705882352941e-05
1.0647058823529412e-06,-1.176470588235294e-05
1.0647058823529412e-06,-5.88235294117647e-06
1.0647058823529412e-06,0.0
1.0647058823529412e-06,5.88235294117647e-06
1.0647058823529412e-06,1.176470588235294e-05
1.0647058823529412e-06,1.764705882352941e-05
1.0647058823529412e-06,2.3529411764705894e-05
1.0647058823529412e-06,2.9411764705882364e-05
1.0647058823529412e-06,3.5294117647058834e-05
1.0647058823529412e-06,4.1176470588235304e-05
1.0647058823529412e-06,4.7058823529411774e-05
1.0647058823529412e-06,5.2941176470588244e-05
1.0647058823529412e-06,5.8823529411764714e-05
1.0647058823529412e-06,6.470588235294118e-05
1.0647058823529412e-06,7.058823529411765e-05
1.0647058823529412e-06,7.647058823529412e-05
1.0647058823529412e-06,8.23529411764706e-05
1.0647058823529412e-06,8.823529411764706e-05
1.0647058823529412e-06,9.411764705882353e-05
1.0647058823529412e-06,0.0001
1.3529411764705883e-06,-0.0001
1.3529411764705883e-06,-9.411764705882353e-05
1.3529411764705883e-06,-8.823529411764706e-05
1.3529411764705883e-06,-8.23529411764706e-05
1.3529411764705883e-06,-7.647058823529412e-05
1.3529411764705883e-06,-7.058823529411765e-05
1.3529411764705883e-06,-6.470588235294117e-05
1.3529411764705883e-06,-5.882352941176471e-05
1.3529411764705883e-06,-5.294117647058824e-05
1.3529411764705883e-06,-4.705882352941177e-05
1.3529411764705883e-06,-4.11764705882353e-05
1.3529411764705883e-06,-3.529411764705882e-05
1.3529411764705883e-06,-2.941176470588235e-05
1.3529411764705883e-06,-2.352941176470588e-05
1.3529411764705883e-06,-1.764705882352941e-05
1.3529411764705883e-06,-1.176470588235294e-05
1.3529411764705883e-06,-5.88235294117647e-06
1.3529411764705883e-06,0.0
1.3529411764705883e-06,5.88235294117647e-06
1.3529411764705883e-06,1.176470588235294e-05
1.3529411764705883e-06,1.764705882352941e-05
1.3529411764705883e-06,2.3529411764705894e-05
1.3529411764705883e-06,2.9411764705882364e-05
1.3529411764705883e-06,3.5294117647058834e-05
1.3529411764705883e-06,4.1176470588235304e-05
1.3529411764705883e-06,4.7058823529411774e-05
1.3529411764705883e-06,5.2941176470588244e-05
1.3529411764705883e-06,5.8823529411764714e-05
1.3529411764705883e-06,6.470588235294118e-05
1.3529411764705883e-06,7.058823529411765e-05
1.3529411764705883e-06,7.647058823529412e-05
1.3529411764705883e-06,8.23529411764706e-05
1.3529411764705883e-06,8.823529411764706e-05
1.3529411764705883e-06,9.411764705882353e-05
1.3529411764705883e-06,0.0001
1.6411764705882354e-06,-0.0001
1.6411764705882354e-06,-9.411764705882353e-05
1.6411764705882354e-06,-8.823529411764706e-05
1.6411764705882354e-06,-8.23529411764706e-05
1.6411764705882354e-06,-7.647058823529412e-05
1.6411764705882354e-06,-7.058823529411765e-05
1.6411764705882354e-06,-6.470588235294117e-05
1.6411764705882354e-06,-5.882352941176471e-05
1.6411764705882354e-06,-5.294117647058824e-05
1.6411764705882354e-06,-4.705882352941177e-05
1.6411764705882354e-06,-4.11764705882353e-05
1.6411764705882354e-06,-3.529411764705882e-05
1.6411764705882354e-06,-2.941176470588235e-05
1.6411764705882354e-06,-2.352941176470588e-05
1.6411764705882354e-06,-1.764705882352941e-05
1.6411764705882354e-06,-1.176470588235294e-05
1.6411764705882354e-06,-5.88235294117647e-06
1.6411764705882354e-06,0.0
1.6411764705882354e-06,5.88235294117647e-06
1.6411764705882354e-06,1.176470588235294e-05
1.6411764705882354e-06,1.764705882352941e-05
1.6411764705882354e-06,2.3529411764705894e-05
1.6411764705882354e-06,2.9411764705882364e-05
1.6411764705882354e-06,3.5294117647058834e-05
1.6411764705882354e-06,4.1176470588235304e-05
1.6411764705882354e-06,4.7058823529411774e-05
1.6411764705882354e-06,5.2941176470588244e-05
1.6411764705882354e-06,5.8823529411764714e-05
1.6411764705882354e-06,6.470588235294118e-05
1.6411764705882354e-06,7.058823529411765e-05
1.6411764705882354e-06,7.647058823529412e-05
1.6411764705882354e-06,8.23529411764706e-05
1.6411764705882354e-06,8.823529411764706e-05
1.6411764705882354e-06,9.411764705882353e-05
1.6411764705882354e-06,0.0001
1.929411764705882e-06,-0.0001
1.929411764705882e-06,-9.411764705882353e-05
1.929411764705882e-06,-8.823529411764706e-05
1.929411764705882e-06,-8.23529411764706e-05
1.929411764705882e-06,-7.647058823529412e-05
1.929411764705882e-06,-7.058823529411765e-05
1.929411764705882e-06,-6.470588235294117e-05
