Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 346.168000
         233408533 function calls (232510377 primitive calls) in 371.927 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1262/1    0.019    0.000  371.978  371.978 {built-in method builtins.exec}
        1    1.155    1.155  371.978  371.978 watercolumn-sw_2species.py:1(<module>)
   259199   38.465    0.000  341.703    0.001 watercolumn-sw_2species.py:282(wc_advance)
  1295995  128.610    0.000  129.008    0.000 watercolumn_lib.py:86(TDMA)
   259199   23.174    0.000   86.294    0.000 phytoplankton.py:111(self_shading)
 20735924   13.624    0.000   61.227    0.000 fromnumeric.py:2177(sum)
 20747424   17.021    0.000   45.411    0.000 fromnumeric.py:71(_wrapreduction)
   259199   26.689    0.000   28.501    0.000 watercolumn-sw_2species.py:184(calculate_brunt_vaisala)
 20794379   25.905    0.000   25.905    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      145    0.003    0.000   19.104    0.132 __init__.py:1(<module>)
     1725    0.022    0.000   15.645    0.009 concat.py:65(concat)
     1725    0.484    0.000   15.619    0.009 concat.py:476(_dataset_concat)
      863    0.267    0.000   15.192    0.018 watercolumn_run_lib.py:78(save_2d_data)
      863    0.011    0.000   13.342    0.015 watercolumn_run_lib.py:65(save_1d_data)
3003/1747    0.009    0.000   10.035    0.006 <frozen importlib._bootstrap>:1349(_find_and_load)
  1249/21    0.005    0.000   10.031    0.478 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2834/35    0.002    0.000    9.945    0.284 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1196/18    0.004    0.000    9.775    0.543 <frozen importlib._bootstrap>:911(_load_unlocked)
  1062/17    0.003    0.000    9.773    0.575 <frozen importlib._bootstrap_external>:989(exec_module)
   518398    8.667    0.000    9.514    0.000 watercolumn_lib.py:332(advance_algae)
        4    0.000    0.000    9.419    2.355 watercolumn_run_lib.py:111(plot_profiles)
     1726    0.010    0.000    8.625    0.005 generic.py:3249(to_xarray)
     1726    0.042    0.000    8.518    0.005 dataset.py:7375(from_dataframe)
        5    0.000    0.000    8.068    1.614 figure.py:3234(savefig)
        5    0.000    0.000    8.068    1.614 backend_bases.py:2052(print_figure)
        6    0.077    0.013    7.788    1.298 watercolumn_run_lib.py:162(add_profile_to_axis)
        9    0.000    0.000    7.597    0.844 artist.py:93(draw_wrapper)
  16446/9    0.031    0.000    7.597    0.844 artist.py:54(draw_wrapper)
        9    0.000    0.000    7.597    0.844 figure.py:3134(draw)
     22/9    0.006    0.000    7.590    0.843 image.py:114(_draw_list_compositing_images)
   610/85    0.001    0.000    7.515    0.088 {built-in method builtins.__import__}
       13    0.000    0.000    7.436    0.572 _base.py:3005(draw)
    14670    0.154    0.000    7.407    0.001 merge.py:627(merge_core)
     1726    0.077    0.000    7.019    0.004 dataset.py:7338(_set_numpy_data_from_dataframe)
    12945    0.169    0.000    6.949    0.001 alignment.py:38(reindex_variables)
    12945    0.030    0.000    6.922    0.001 dataset.py:1583(__setitem__)
    12945    0.034    0.000    6.864    0.001 dataset.py:5666(update)
    12945    0.061    0.000    6.758    0.001 merge.py:1032(dataset_update_method)
      980    6.708    0.007    6.708    0.007 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    12945    0.110    0.000    6.601    0.001 variable.py:810(_getitem_with_mask)
3255/2357    0.004    0.000    6.563    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        9    0.000    0.000    6.503    0.723 backend_bases.py:2043(<lambda>)
        9    0.000    0.000    6.503    0.723 backend_agg.py:450(print_png)
        9    0.000    0.000    6.503    0.723 backend_agg.py:440(_print_pil)
        9    0.000    0.000    6.037    0.671 backend_agg.py:381(draw)
    18121    0.035    0.000    5.717    0.000 alignment.py:678(align)
    18121    0.065    0.000    5.111    0.000 alignment.py:564(align)
   259199    4.617    0.000    5.077    0.000 watercolumn_lib.py:374(advance_velocity)
      786    0.003    0.000    4.948    0.006 backend_agg.py:208(get_text_width_height_descent)
    16396    0.144    0.000    4.896    0.000 alignment.py:886(deep_align)
     8060    0.050    0.000    4.643    0.001 _axes.py:1479(plot)
29270019/29265695    3.623    0.000    4.577    0.000 {built-in method builtins.isinstance}
     1062    0.008    0.000    4.419    0.004 <frozen importlib._bootstrap_external>:1062(get_code)
       12    0.000    0.000    4.262    0.355 legend.py:751(draw)
     1062    0.003    0.000    3.901    0.004 <frozen importlib._bootstrap_external>:1183(get_data)
  2332791    1.453    0.000    3.513    0.000 watercolumn_lib.py:79(initialize_abcd)
  654/268    0.011    0.000    3.450    0.013 offsetbox.py:505(_get_bbox_and_child_offsets)
      614    0.005    0.000    3.392    0.006 offsetbox.py:794(get_bbox)
    16395    0.031    0.000    3.377    0.000 alignment.py:556(reindex_all)
   378/12    0.001    0.000    3.357    0.280 artist.py:31(draw_wrapper)
   150/12    0.001    0.000    3.357    0.280 offsetbox.py:406(draw)
    32790    0.019    0.000    3.346    0.000 alignment.py:557(<genexpr>)
    19846    0.013    0.000    3.340    0.000 dataset.py:1266(copy)
    16395    0.026    0.000    3.327    0.000 alignment.py:538(_reindex_one)
    19846    0.165    0.000    3.326    0.000 dataset.py:1365(_copy)
        1    0.000    0.000    3.301    3.301 watercolumn_run_lib.py:95(save_dataset)
        1    0.000    0.000    3.301    3.301 dataset.py:2231(to_netcdf)
        1    0.000    0.000    3.301    3.301 api.py:1241(to_netcdf)
    12945    2.924    0.000    3.268    0.000 duck_array_ops.py:341(where)
     1246    0.009    0.000    3.253    0.003 <frozen importlib._bootstrap>:1240(_find_spec)
     4967    3.234    0.001    3.234    0.001 {built-in method posix.stat}
     1241    0.001    0.000    3.234    0.003 <frozen importlib._bootstrap_external>:1520(find_spec)
     1241    0.003    0.000    3.233    0.003 <frozen importlib._bootstrap_external>:1491(_get_spec)
       11    0.001    0.000    3.213    0.292 core.py:1(<module>)
     4839    0.002    0.000    3.145    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
     1878    0.015    0.000    3.142    0.002 <frozen importlib._bootstrap_external>:1593(find_spec)
    80/52    0.002    0.000    3.029    0.058 offsetbox.py:473(_get_bbox_and_child_offsets)
  584/154    0.001    0.000    3.027    0.020 offsetbox.py:364(get_bbox)
   259200    3.018    0.000    3.018    0.000 watercolumn-sw_2species.py:175(calculate_sm)
        2    0.000    0.000    2.969    1.485 locks.py:139(_get_scheduler)
        2    0.000    0.000    2.966    1.483 base.py:1430(get_scheduler)
    12945    0.055    0.000    2.952    0.000 frame.py:4271(__setitem__)
 22156531    2.887    0.000    2.887    0.000 {method 'items' of 'dict' objects}
   518398    0.884    0.000    2.856    0.000 phytoplankton.py:87(get_loss_and_growth)
    16395    0.100    0.000    2.789    0.000 dataset.py:3434(_reindex_callback)
     1593    0.045    0.000    2.785    0.002 text.py:358(_get_layout)
    12945    0.023    0.000    2.743    0.000 frame.py:4514(_set_item)
 11415154    2.681    0.000    2.681    0.000 {built-in method numpy.zeros}
      526    0.008    0.000    2.659    0.005 text.py:734(draw)
     3186    0.007    0.000    2.644    0.001 text.py:65(_get_text_metrics_with_cache)
     9783    0.043    0.000    2.636    0.000 dataarray.py:1430(isel)
        4    0.000    0.000    2.625    0.656 pyplot.py:2591(tight_layout)
        4    0.000    0.000    2.625    0.656 figure.py:3508(tight_layout)
        4    0.000    0.000    2.625    0.656 layout_engine.py:163(execute)
   274332    2.576    0.000    2.618    0.000 {built-in method builtins.sum}
        4    0.000    0.000    2.606    0.652 _tight_layout.py:194(get_tight_layout_figure)
        4    0.000    0.000    2.606    0.651 _tight_layout.py:20(_auto_adjust_subplotpars)
     12/4    0.000    0.000    2.605    0.651 artist.py:1404(_get_tightbbox_for_layout_only)
        4    0.000    0.000    2.605    0.651 deprecation.py:443(wrapper)
        4    0.000    0.000    2.605    0.651 _base.py:4338(get_tightbbox)
 23337305    2.596    0.000    2.596    0.000 {built-in method builtins.abs}
      172    0.000    0.000    2.574    0.015 text.py:73(_get_text_metrics_with_cache_impl)
    16120    0.054    0.000    2.528    0.000 _base.py:233(__call__)
        1    0.000    0.000    2.494    2.494 watercolumn_lib.py:1(<module>)
        1    0.000    0.000    2.486    2.486 actor.py:1(<module>)
      200    0.002    0.000    2.486    0.012 backend_agg.py:187(draw_text)
        1    0.003    0.003    2.466    2.466 watercolumn_run_lib.py:197(plot_phasing)
        2    0.000    0.000    2.395    1.197 client.py:1(<module>)
     8060    0.101    0.000    2.388    0.000 _base.py:401(_plot_args)
    12945    0.065    0.000    2.352    0.000 frame.py:4481(_set_item_mgr)
   358716    0.419    0.000    2.323    0.000 variable.py:370(__init__)
     1765    0.002    0.000    2.135    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    12945    0.114    0.000    2.101    0.000 managers.py:1347(insert)
     1629    0.001    0.000    2.096    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
     8056    0.153    0.000    2.090    0.000 dataset.py:3008(_isel_fancy)
     1062    2.020    0.002    2.020    0.002 {built-in method _io.open_code}
   518398    1.972    0.000    1.972    0.000 phytoplankton.py:66(monod_growth_rate)
    25875    0.061    0.000    1.969    0.000 variable.py:2934(concat)
     8060    0.045    0.000    1.964    0.000 _base.py:2300(add_line)
   229226    0.289    0.000    1.803    0.000 variable.py:941(_replace)
 20735924    1.750    0.000    1.750    0.000 fromnumeric.py:2172(_sum_dispatcher)
    32512    0.148    0.000    1.728    0.000 variable.py:600(_broadcast_indexes)
      743    0.006    0.000    1.700    0.002 text.py:915(get_window_extent)
    21572    0.085    0.000    1.696    0.000 indexes.py:1612(copy_indexes)
    44878    0.275    0.000    1.679    0.000 base.py:475(__new__)
    25875    0.148    0.000    1.676    0.000 variable.py:1671(concat)
       16    0.000    0.000    1.674    0.105 offsetbox.py:395(get_window_extent)
     1068    1.642    0.002    1.642    0.002 {method 'read' of '_io.BufferedReader' objects}
    15561    0.165    0.000    1.622    0.000 lines.py:738(draw)
       10    0.000    0.000    1.575    0.157 api.py:1(<module>)
      114    0.000    0.000    1.542    0.014 offsetbox.py:817(draw)
   169964    0.187    0.000    1.519    0.000 variable.py:907(_copy)
   779656    1.511    0.000    1.511    0.000 _methods.py:90(_clip)
   259199    0.617    0.000    1.505    0.000 watercolumn_lib.py:66(diurnal_light)
    16120    0.020    0.000    1.462    0.000 _base.py:532(<genexpr>)
     8060    0.038    0.000    1.441    0.000 _base.py:342(_makeline)
14671/12945    0.113    0.000    1.433    0.000 base.py:6956(insert)
     8604    0.157    0.000    1.430    0.000 lines.py:287(__init__)
    31065    0.181    0.000    1.345    0.000 merge.py:307(collect_variables_and_indexes)
