Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150882364 function calls (150788378 primitive calls) in 186.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1170/1    0.009    0.000  186.558  186.558 {built-in method builtins.exec}
        1    1.433    1.433  186.558  186.558 watercolumn-sw_2species.py:1(<module>)
   259199   47.907    0.000  183.474    0.001 watercolumn-sw_2species.py:285(wc_advance)
   259199   24.727    0.000   96.080    0.000 phytoplankton.py:122(calc_self_shading)
 20735922   15.325    0.000   69.254    0.000 fromnumeric.py:2177(sum)
 20735922   19.197    0.000   51.359    0.000 fromnumeric.py:71(_wrapreduction)
 20735923   29.308    0.000   29.308    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   518398   10.064    0.000   11.168    0.000 watercolumn_lib.py:337(advance_algae)
   259199    5.274    0.000    5.886    0.000 watercolumn_lib.py:379(advance_velocity)
  2332791    1.762    0.000    4.328    0.000 watercolumn_lib.py:80(initialize_abcd)
   259200    3.384    0.000    3.384    0.000 watercolumn-sw_2species.py:175(calculate_sm)
      151    0.003    0.000    3.241    0.021 __init__.py:1(<module>)
   518398    0.984    0.000    3.108    0.000 phytoplankton.py:87(get_loss_and_growth)
   261000    2.870    0.000    2.870    0.000 {built-in method builtins.sum}
 20739505    2.855    0.000    2.855    0.000 {method 'items' of 'dict' objects}
 10108778    2.829    0.000    2.829    0.000 {built-in method numpy.zeros}
20986103/20986102    2.604    0.000    2.615    0.000 {built-in method builtins.isinstance}
   259199    2.202    0.000    2.543    0.000 watercolumn-sw_2species.py:184(calculate_brunt_vaisala)
   518398    2.124    0.000    2.124    0.000 phytoplankton.py:66(monod_growth_rate)
 20735922    2.005    0.000    2.005    0.000 fromnumeric.py:2172(_sum_dispatcher)
  1326/82    0.007    0.000    1.895    0.023 <frozen importlib._bootstrap>:1349(_find_and_load)
  1288/51    0.005    0.000    1.894    0.037 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  3062/70    0.034    0.000    1.883    0.027 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1242/51    0.004    0.000    1.883    0.037 <frozen importlib._bootstrap>:911(_load_unlocked)
  1100/50    0.003    0.000    1.882    0.038 <frozen importlib._bootstrap_external>:989(exec_module)
   777598    1.734    0.000    1.734    0.000 _methods.py:90(_clip)
   259199    0.729    0.000    1.720    0.000 watercolumn_lib.py:67(diurnal_light)
   518399    0.377    0.000    1.529    0.000 {method 'clip' of 'numpy.ndarray' objects}
  742/111    0.001    0.000    1.486    0.013 {built-in method builtins.__import__}
   259200    0.306    0.000    1.453    0.000 fromnumeric.py:2100(clip)
   259200    1.448    0.000    1.448    0.000 watercolumn-sw_2species.py:181(calculate_sh)
8364/7081    0.008    0.000    1.429    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   259200    0.205    0.000    1.147    0.000 fromnumeric.py:53(_wrapfunc)
  3110390    1.123    0.000    1.123    0.000 {built-in method builtins.abs}
   259199    0.409    0.000    0.992    0.000 {method 'clip' of 'numpy.generic' objects}
        1    0.000    0.000    0.901    0.901 dispatcher.py:388(_compile_for_args)
     15/1    0.000    0.000    0.855    0.855 dispatcher.py:907(compile)
      5/1    0.000    0.000    0.855    0.855 dispatcher.py:124(compile)
      5/1    0.000    0.000    0.855    0.855 dispatcher.py:131(_compile_cached)
      5/1    0.000    0.000    0.855    0.855 dispatcher.py:146(_compile_core)
      5/1    0.000    0.000    0.855    0.855 compiler.py:725(compile_extra)
        1    0.000    0.000    0.735    0.735 watercolumn_lib.py:1(<module>)
  1295995    0.595    0.000    0.595    0.000 serialize.py:30(_numba_unpickle)
  443/274    0.001    0.000    0.547    0.002 compiler_lock.py:32(_acquire_compile_lock)
      6/1    0.000    0.000    0.521    0.521 compiler.py:439(compile_extra)
      6/1    0.000    0.000    0.520    0.520 compiler.py:508(_compile_bytecode)
      6/1    0.000    0.000    0.520    0.520 compiler.py:462(_compile_core)
      6/1    0.000    0.000    0.520    0.520 compiler_machinery.py:342(run)
   156/26    0.004    0.000    0.519    0.020 compiler_machinery.py:268(_runPass)
   468/78    0.001    0.000    0.506    0.006 compiler_machinery.py:272(check)
3780/3663    0.038    0.000    0.491    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.438    0.438 pyplot.py:1(<module>)
     1100    0.008    0.000    0.424    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        6    0.000    0.000    0.345    0.057 compiler.py:397(__init__)
      6/4    0.000    0.000    0.334    0.084 typed_passes.py:437(run_pass)
       10    0.000    0.000    0.332    0.033 api.py:1(<module>)
   286/40    0.000    0.000    0.314    0.008 base.py:261(refresh)
      6/1    0.000    0.000    0.283    0.283 typed_passes.py:105(run_pass)
      6/1    0.000    0.000    0.283    0.283 typed_passes.py:68(type_inference_stage)
      6/1    0.000    0.000    0.280    0.280 typeinfer.py:1072(propagate)
     12/2    0.000    0.000    0.280    0.140 typeinfer.py:147(propagate)
  125/111    0.002    0.000    0.279    0.003 functions.py:281(get_call_type)
      286    0.003    0.000    0.278    0.001 cpu.py:60(load_additional_registries)
    88/76    0.001    0.000    0.272    0.004 typeinfer.py:585(resolve)
    94/82    0.000    0.000    0.269    0.003 context.py:189(resolve_function_type)
    88/76    0.000    0.000    0.269    0.004 typeinfer.py:1539(resolve_call)
    94/82    0.000    0.000    0.269    0.003 context.py:233(_resolve_user_function_type)
  496/478    0.001    0.000    0.264    0.001 templates.py:349(apply)
      105    0.003    0.000    0.260    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.255    0.002 artist.py:126(__init_subclass__)
     1281    0.009    0.000    0.255    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     18/6    0.000    0.000    0.251    0.042 typeinfer.py:575(__call__)
     10/2    0.000    0.000    0.250    0.125 templates.py:607(generic)
     10/2    0.000    0.000    0.249    0.125 templates.py:698(_get_impl)
     14/3    0.000    0.000    0.249    0.083 functions.py:534(get_call_type)
      4/1    0.000    0.000    0.249    0.249 templates.py:749(_build_impl)
     14/3    0.000    0.000    0.249    0.083 dispatcher.py:348(get_call_template)
     1276    0.001    0.000    0.236    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1276    0.003    0.000    0.235    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     4831    0.002    0.000    0.230    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     4874    0.229    0.000    0.229    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.224    0.224 figure.py:1(<module>)
     1735    0.013    0.000    0.213    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      6/4    0.000    0.000    0.204    0.051 lowering.py:182(lower)
      117    0.000    0.000    0.200    0.002 artist.py:1837(kwdoc)
     1101    0.003    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.174    0.174 colorbar.py:1(<module>)
      6/4    0.000    0.000    0.171    0.043 lowering.py:218(lower_normal_function)
      117    0.005    0.000    0.170    0.001 artist.py:1598(pprint_setters)
      6/4    0.000    0.000    0.168    0.042 lowering.py:235(lower_function_body)
    12/10    0.001    0.000    0.168    0.017 lowering.py:260(lower_block)
        3    0.000    0.000    0.167    0.056 generic.py:1(<module>)
  218/194    0.001    0.000    0.166    0.001 lowering.py:442(lower_inst)
1242/1235    0.002    0.000    0.162    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1101    0.157    0.000    0.157    0.000 {built-in method _io.open_code}
   102/90    0.000    0.000    0.149    0.002 lowering.py:650(lower_assign)
    58/53    0.000    0.000    0.144    0.003 lowering.py:1170(lower_expr)
     2929    0.104    0.000    0.143    0.000 ffi.py:190(__call__)
     1099    0.023    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     4252    0.010    0.000    0.138    0.000 artist.py:1470(get_valid_values)
  133/131    0.000    0.000    0.136    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
395510/395458    0.127    0.000    0.135    0.000 {built-in method builtins.getattr}
  133/131    0.129    0.001    0.134    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.131    0.131 arraymath.py:1(<module>)
        1    0.000    0.000    0.123    0.123 arraymath.py:32(_check_blas)
        1    0.000    0.000    0.123    0.123 linalg.py:55(ensure_blas)
        3    0.000    0.000    0.122    0.041 decorators.py:1(<module>)
    50/46    0.000    0.000    0.121    0.003 base.py:1189(__call__)
    50/46    0.000    0.000    0.121    0.003 base.py:1218(wrapper)
   518399    0.118    0.000    0.118    0.000 {built-in method math.sqrt}
     1099    0.115    0.000    0.115    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.114    0.114 stencil.py:1(<module>)
        1    0.000    0.000    0.107    0.107 watercolumn_run_lib.py:1(<module>)
        7    0.000    0.000    0.107    0.015 codegen.py:739(finalize)
        1    0.000    0.000    0.102    0.102 contour.py:1(<module>)
     7303    0.056    0.000    0.101    0.000 inspect.py:875(cleandoc)
      9/7    0.000    0.000    0.098    0.014 lowering.py:900(lower_call)
      9/7    0.000    0.000    0.098    0.014 lowering.py:1142(_lower_call_normal)
        4    0.000    0.000    0.097    0.024 functions.py:389(get_call_type)
        4    0.000    0.000    0.097    0.024 templates.py:1136(generic)
        6    0.000    0.000    0.097    0.016 templates.py:1076(_get_signature)
        1    0.000    0.000    0.096    0.096 rcsetup.py:1(<module>)
     7315    0.005    0.000    0.095    0.000 inspect.py:856(getdoc)
